PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
7641,1,2,672,17,75,15,60,0,70,0.630434782608696,6.04691800765517,R,1,8.36660026534076,R,0.6,5.19615242270663,R,2,7,87.094,10,0,0,0,0,60.783,18,182.886,11,209.181,19,23,0,71.645,6,77.79,11.338,187.006,6,69.027,15,115.53,15,0,0,4.722,2.272,152.169,15,9,0
7710,1,1,631,40,50,36,38,70,0,0.111111111111111,1.05409255338946,A,-1,-8.36660026534076,L,0.027027027027027,0.232495277487639,A,2,5,25.793,7,0,0,0,0,71.923,20,244.193,8,198.037,21,46,0,62.549,4,4.883,4.834,202.61,4,44.294,5,61.24,11,6.501,2,4.432,3.986,204.753,11,12,0
7712,1,14,713,32,39,0,76,0,75,0.0985915492957746,0.830747160735697,A,1,8.66025403784439,R,1,8.71779788708135,R,2,1,54.998,12,0,0,0,0,67.69,20,214.978,13,202.27,21,109,0,110.188,10,1.217,105.824,53.969,10,0,0,0,0,7.498,2,0,270,0,0,49,0
7765,1,13,721,28,40,77,0,0,72,0.176470588235294,1.455213750218,A,1,8.48528137423857,R,-1,-8.77496438739212,L,2,1,95.98,20,0,0,0,0,95.565,18,173.98,21,174.4,18,35,0,125.168,5,48.228,50.373,94.451,4,9.8,2,9.852,2,15.285,4,0,222.059,38.086,2,16,0
7773,5,17,757,36,31,4,26,0,41,-0.0746268656716418,-0.610847221781526,A,1,6.40312423743285,R,0.733333333333333,4.01663208837122,R,2,4,NA,NA,32.345,1,0,0,100.279,29,248.145,7,168.414,31,177,0,42.092,5,9.727,99.878,128.021,5,26.798,10,65.8,9,0,0,8.148,10.199,193.984,9,12,0
7804,1,15,693,37,47,65,0,0,76,0.119047619047619,1.09108945117996,A,1,8.71779788708135,R,-1,-8.06225774829855,L,2,4,24.65,4,0,0,0,0,54.451,17,245.343,4,215.515,18,37,0,72.637,11,2.529,5.277,192.065,11,16.26,4,65.066,17,24.295,6,34.259,112.16,92.741,17,39,0
7831,1,9,766,29,30,54,22,0,74,0.0169491525423729,0.130188910980824,A,1,8.60232526704263,R,-0.421052631578947,-3.67065174192899,L,2,7,60.196,12,0,0,0,0,55.442,14,209.78,13,214.53,15,65,0,58.658,3,1.049,2.546,208.791,3,43.459,13,47.384,10,7.249,2,7.478,136.433,86.164,10,65,0
7832,1,3,693,31,64,75,1,74,0,0.347368421052632,3.38572856188101,R,-1,-8.60232526704263,L,-0.973684210526316,-8.48838215321078,L,2,3,120.939,15,0,0,0,0,68.241,19,149.031,16,201.721,20,8,0,53.189,5,3.313,45.312,171.49,5,24.493,10,90.72,12,3.504,1,40.16,42.863,136.396,12,12,0
7834,1,12,656,45,36,70,5,75,0,-0.111111111111111,-1,A,-1,-8.66025403784439,L,-0.866666666666667,-7.50555349946513,L,2,5,131.895,13,0,0,0,0,40.174,10,138.079,14,229.807,10,0,0,132.153,6,270,11.159,126.677,6,30.641,7,80.783,11,9.649,2,44.889,9.99,179.206,11,4,0
7835,1,4,670,46,46,0,75,72,0,0,0,A,-1,-8.48528137423857,L,1,8.66025403784439,R,2,5,73.738,17,0,0,0,0,79.217,25,196.228,18,190.734,25,109,0,80.344,6,9.049,92.8,96.845,6,11.051,2,60.144,4,0,0,5.397,13.898,195.951,4,45,0
7848,5,14,766,17,34,29,3,0,61,0.333333333333333,2.38047614284762,R,1,7.81024967590665,R,-0.8125,-4.59619407771256,L,2,1,NA,NA,9.499,0,0,0,86.119,26,240.152,11,183.829,27,86,0,63.568,6,5.369,7.621,198.801,5,4.5,3,5.65,2,41.594,8,0,51.572,212.775,2,65,0
7865,1,7,685,43,34,76,1,74,0,-0.116883116883117,-1.02564518813674,A,-1,-8.60232526704263,L,-0.974025974025974,-8.54704323447285,L,2,4,11.298,4,0,0,0,0,61.357,16,258.694,5,208.611,17,92,0,0,0,4.496,270,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7907,1,6,721,52,33,75,1,0,71,-0.223529411764706,-2.06083934927723,L,1,8.42614977317636,R,-0.973684210526316,-8.48838215321078,L,2,2,81.154,18,0,0,0,0,61.831,20,188.811,18,208.129,21,89,0,22.59,7,25.792,35.593,211.804,7,92.557,14,104.784,14,11.001,3,0.45,89.65,75.539,14,40,0
7910,5,1,783,40,31,13,18,0,62,-0.126760563380282,-1.06810349237447,A,1,7.87400787401181,R,0.161290322580645,0.898026510133875,A,2,5,NA,NA,14.591,0,0,0,81.715,20,210.747,10,188.245,21,60,0,5.554,3,2.886,22.283,242.158,3,0,0,6.243,5,13.953,4,1.894,66.094,197.654,5,152,0
7914,1,11,765,45,33,70,7,76,0,-0.153846153846154,-1.35873244097351,A,-1,-8.71779788708135,L,-0.818181818181818,-7.17951631695719,L,2,4,11.594,4,0,0,0,0,55.071,13,258.398,5,214.904,13,21,0,21.846,2,19.298,25.446,222.705,2,31.994,9,41.886,12,0,0,5.23,8.378,219.713,12,28,0
7961,1,5,718,12,35,0,0,73,0,0.48936170212766,3.35489480445157,R,-1,-8.54400374531753,L,NA,NA,NA,2,4,115.884,14,0,0,0,0,78.455,19,154.089,14,191.507,20,21,0,74.092,5,8.531,3.531,192.368,5,68.77,14,103.895,8,0,0,4.718,36.166,129.924,8,29,0
7962,1,16,673,69,21,71,5,0,72,-0.533333333333333,-5.05964425626941,L,1,8.48528137423857,R,-0.868421052631579,-7.57071921772854,L,2,7,45.329,10,0,0,0,0,61.286,14,224.652,10,208.686,15,21,0,14.597,4,20.817,6.065,249.331,4,30.203,9,85.098,6,0,0,5.403,8.051,176.84,6,8,0
7966,1,10,656,44,36,0,76,0,73,-0.1,-0.894427190999916,A,1,8.54400374531753,R,1,8.71779788708135,R,2,4,81.035,19,0,0,0,0,73.857,14,188.927,20,196.115,15,30,0,101.242,8,35.031,11.278,147.715,8,45.707,11,81.988,10,0,0,171.12,5.469,182.524,10,2,0
7986,1,8,685,25,69,74,2,0,76,0.468085106382979,4.53825348353869,R,1,8.71779788708135,R,-0.947368421052632,-8.25896641934022,L,2,3,35.178,9,0,0,0,0,67.458,17,234.804,10,202.509,17,38,0,108.295,6,3.401,9.648,152.046,6,61.004,18,68.549,3,0,0,1.976,4.624,73.803,2,27,1
8515,6,12,772,17,16,49,3,68,0,-0.0303030303030303,-0.174077655955698,A,-1,-8.24621125123532,L,-0.884615384615385,-6.37905225659014,L,2,3,NA,NA,14.001,0,0,0,100.495,29,186.301,14,169.448,29,46,0,155.996,4,5.122,3.87,110.127,4,0,0,3.902,3,0,0,6.686,167.338,98.757,3,53,0
8530,6,9,775,27,50,75,2,0,71,0.298701298701299,2.62109325857167,R,1,8.42614977317636,R,-0.948051948051948,-8.31912208155357,L,2,3,NA,NA,46.511,0,0.999,1,145.661,43,239.788,8,123.252,45,234,0,88.021,14,7.216,5.118,176.834,14,69.598,23,80.685,6,3.502,1,0,11.647,58.106,5,32,1
8548,6,2,804,10,67,61,14,76,0,0.74025974025974,6.49575285819936,R,-1,-8.71779788708135,L,-0.626666666666667,-5.42709253038248,L,2,3,0,0,2.439,0,0,0,44.748,10,270,1,225.232,11,37,0,98.725,7,11.635,0.001,171.261,7,0,0,3.5,4,7.532,2,0,17.764,248.729,4,162,0
8564,6,7,776,NA,NA,0,73,NA,NA,NA,NA,NA,NA,NA,NA,1,8.54400374531753,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8565,4,16,733,56,15,67,12,0,72,-0.577464788732394,-4.8658047985948,L,1,8.48528137423857,R,-0.69620253164557,-6.18798345509313,L,2,3,0,0,0,0,0,0,37.593,12,270,1,232.384,12,45,0,0,0,13.042,270,0,0,0,0,4.298,1,67.043,12,0,221.655,44.046,1,110,0
8572,6,3,804,43,48,24,52,69,0,0.0549450549450549,0.524142418360959,A,-1,-8.30662386291807,L,0.368421052631579,3.21182027418786,R,2,4,15.74,6,4.003,0,0,0,72.568,18,254.248,7,197.396,19,93,0,230.145,5,6.048,0.001,39.845,5,5.501,4,35.048,6,26.997,6,7.525,23.475,168.475,5,64,0
8575,4,8,774,25,29,79,0,12,60,0.0740740740740741,0.544331053951817,A,0.666666666666667,5.65685424949238,R,-1,-8.88819441731559,L,2,4,46.07,7,0,0,0,0,59.195,17,223.916,8,210.771,18,95,0,94.83,8,31.07,32.122,143.033,8,NA,NA,33.997,9,31.802,7,5.156,4.206,231.78,9,63,0
8587,4,13,588,13,18,49,27,0,70,0.161290322580645,0.898026510133875,A,1,8.36660026534076,R,-0.289473684210526,-2.52357307257618,L,2,1,NA,NA,7.494,0,0,0,81.224,21,136.499,13,188.734,22,28,0,30.543,6,23.886,12.339,227.107,6,0,0,1.9,2,7.018,2,0,68.784,199.313,2,92,0
8590,4,10,784,37,38,0,79,70,0,0.0133333333333333,0.115470053837925,A,-1,-8.36660026534076,L,1,8.88819441731559,R,2,4,NA,NA,23.748,0,0,0,65.941,24,241.741,10,204.011,25,75,0,53.088,12,10.201,21.857,195.033,12,0,0,0.601,2,13.249,4,0,178.439,90.957,2,55,0
8596,6,14,810,29,13,77,0,70,0,-0.380952380952381,-2.46885359939347,L,-1,-8.36660026534076,L,-1,-8.77496438739212,L,2,4,NA,NA,15.995,0,0,0,96.577,27,236.489,8,172.87,27,74,0,83.789,6,8.603,1.804,184.396,6,33.202,13,39.444,6,10.652,2,0,93.351,137.194,6,37,0
