Subject,Batch,PVC_Nr,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t
10,1,7966,656,44,36,0,76,0,73,-0.1,-0.894427190999916,A,1,8.54400374531753,R,1,8.71779788708135,R
10,2,2,772,32,55,41,35,64,0,0.264367816091954,2.46585883012693,R,-1,-8,L,-0.0789473684210526,-0.688247201611685,A
10,4,8590,784,37,38,0,79,70,0,0.0133333333333333,0.115470053837925,A,-1,-8.36660026534076,L,1,8.88819441731559,R
10,5,9172,798,NA,NA,31,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,-5.56776436283002,L
10,6,9100,772,11,5,34,31,0,65,NA,NA,NA,1,8.06225774829855,R,-0.0461538461538462,-0.372104203767625,A
11,1,7914,765,45,33,70,7,76,0,-0.153846153846154,-1.35873244097351,A,-1,-8.71779788708135,L,-0.818181818181818,-7.17951631695719,L
11,2,13,775,55,37,47,26,69,0,-0.195652173913043,-1.87662972651367,A,-1,-8.30662386291807,L,-0.287671232876712,-2.45786409111874,L
11,4,8646,781,19,37,0,64,73,0,0.321428571428571,2.40535117721182,R,-1,-8.54400374531753,L,1,8,R
11,5,9095,801,30,13,21,10,61,0,-0.395348837209302,-2.59247569565428,L,-1,-7.81024967590665,L,-0.354838709677419,-1.97565832229452,L
11,6,8623,775,39,48,7,5,69,0,0.103448275862069,0.964901281354015,A,-1,-8.30662386291807,L,NA,NA,NA
12,1,7834,656,45,36,70,5,75,0,-0.111111111111111,-1,A,-1,-8.66025403784439,L,-0.866666666666667,-7.50555349946513,L
12,2,3,772,38,40,74,0,0,65,0.0256410256410256,0.226455406828919,A,1,8.06225774829855,R,-1,-8.60232526704263,L
12,4,8938,784,15,56,73,3,0,66,0.577464788732394,4.8658047985948,R,1,8.12403840463596,R,-0.921052631578947,-8.02955068546966,L
12,5,9080,800,11,23,24,8,0,57,0.352941176470588,2.05798302171011,R,1,7.54983443527075,R,-0.5,-2.82842712474619,L
12,6,8515,772,17,16,49,3,68,0,-0.0303030303030303,-0.174077655955698,A,-1,-8.24621125123532,L,-0.884615384615385,-6.37905225659014,L
