PVC_Nr,Batch,Subject,Sow,Test_Nr,HAT_disturbance_freq,HAT_exploration_human_dur,HAT_exploration_human_freq,HAT_jumping_freq,HAT_latency_to_touch_the_human_dur,HAT_pig_not_visible_dur,HAT_pig_not_visible_freq,HAT_pig_visible_not_exploring_dur,HAT_pig_visible_not_exploring_freq,HAT_tail_wagging_freq,HAT_touching_not_visible_freq,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_latency_nose_nose_dur,NPT_nose_nose_freq,NPT_NP_not_visible_dur,NPT_NP_walking_by_fence_dur,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
7907,1,6,721,1,0,0,0,0,270,51.47,4,218.523,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7907,1,6,721,2,0,7.695,2,0,129.604,31.196,7,231.091,10,0,0,0,0,0,56.989,5,213.001,6,218.253,3,270,0,143.253,51.742,3,0,0,0,2,0,0,24.251,7,6.997,3.757,0,0,5,84.241,1,11.498,3,40.243,7,134.003,2,5.256,6,47.972,11,148.258,0,0,0,3.757
7910,5,1,783,1,1,10.791,4,0,57.994,30.348,8,228.839,11,0,2,20.437,2,0,55.987,10,213.993,11,129.244,4,213.028,0,61.024,119.809,5,0,0,0,4,0,0,0,10,4.25,75.485,1,3.748,4,32.236,5,16.75,7,103.052,6,97.002,4,8.496,9,24.497,19,108.983,0,0,0,75.485
7910,5,1,783,2,0,0,0,4,270,83.454,5,186.536,6,0,0,36.75,7,0,117.48,13,148.497,15,138.326,10,10.19,0,4.691,94.892,16,0,0,0,5,3.995,1,0,12,0,39.988,0,0,2,32.996,0,0,16,94.892,12,105.326,1,1.502,13,91.48,17,117.255,0,0,3.995,39.988
7914,1,11,765,1,3,0.852,1,1,228.895,6.498,1,262.646,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7914,1,11,765,2,1,0,0,0,270,29.042,2,240.954,3,0,0,0,0,0,88.502,6,181.486,7,255.246,3,270,0,97.372,14.75,2,0,0,1,1,0,0,1.119,23,0,0,0,0,4,34.995,0,0,2,14.75,7,220.243,3,24.994,8,63.503,7,174.483,0,0,0,0
7924,1,17,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7961,1,5,718,1,1,16.143,4,0,80.958,30.902,3,222.941,8,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7961,1,5,718,2,3,31.799,2,0,58.717,19.741,3,218.45,6,0,0,0,0,0,5.743,2,251.346,6,263.503,2,270,0,236.752,6.494,2,3.157,3,0,0,9.742,2,4.75,32,10.738,0,0,0,5,78.506,2,6.494,0,0,3,184.991,1,1.5,1,0.748,6,191.351,0,0,9.742,0
7962,1,16,673,1,0,1.349,1,0,257.89,27.639,5,241,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7962,1,16,673,2,2,51.344,4,0,152.677,55.012,8,163.624,9,0,1,165.49,9,0,179.1,13,90.876,12,31.083,4,4.334,0,0.586,73.402,13,0,0,0,1,0,0,0,2,0,0,5,18.236,1,0.586,3,5.164,12,68.236,3,30.497,5,11.644,17,165.946,12,88.375,0,0,0,0
7966,1,10,656,1,1,26.049,4,0,11.169,15.542,5,228.393,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7966,1,10,656,2,1,33.744,5,0,10.952,19.489,5,216.749,9,0,2,0,0,0,63.748,4,206.244,5,252.499,2,270,0,53.69,17.499,1,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,1,17.499,2,252.499,0,0,4,63.748,5,206.244,0,0,0,0
7986,1,8,685,1,0,9.244,1,1,248.818,19.838,4,240.91,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7986,1,8,685,2,5,21.92,2,0,5.377,27.353,4,220.717,5,0,4,0,0,0,86.745,8,171.75,10,229.508,5,270,0,57.748,37.985,5,1.496,1,0,0,7.491,2,21.999,12,0,3.251,0,0,6,54.249,2,14.994,4,22.99,7,175.251,4,9.997,7,72.244,11,133.001,0,0,7.491,3.251
8515,6,12,772,1,2,35.214,5,0,8.387,19.641,7,215.125,9,0,3,34.241,2,0,70.13,7,181.105,7,190.357,4,67.608,0,60.36,33.141,6,0,0,2,2,0,0,2.357,12,25.39,8.493,1,16.748,9,96.602,5,19.388,3,13.751,6,93.744,4,28.748,5,27.243,12,99.348,0,0,0,8.493
8515,6,12,772,2,3,138.858,5,0,2.596,15.001,2,116.127,8,0,28,74.747,5,0,105.465,10,164.516,10,129.085,6,13.64,0,8.637,66.148,10,0,0,7,0,0,0,24.637,11,0,6.747,1,2.499,2,10.992,2,6.251,9,59.896,4,118.093,0,0,10,102.965,9,155.159,0,0,0,6.747
8530,6,9,775,1,1,12.849,6,0,17.673,28.285,14,228.828,19,0,4,0,0,2,0,0,131.244,13,265.552,1,270,4.447,270,4.447,1,0,0,0,0,138.732,12,27.196,3,169.251,0,0,0,4,209.547,0,0,1,4.447,4,55.998,0,0,0,0,4,47.256,0,0,138.732,0
8530,6,9,775,2,6,49.19,5,0,7.558,21.49,4,199.302,10,0,0,0,0,3,1.417,1,198.55,10,270,1,270,0,270,0,0,0,0,0,0,63.266,9,44.012,22,36.508,0,0,0,4,92.256,0,0,0,0,4,177.737,0,0,1,1.417,8,157.558,0,0,63.266,0
8548,6,2,804,1,1,38.894,5,0,34.224,6.588,3,224.504,7,0,5,0,0,0,35.497,3,133.743,13,227.242,4,270,0,2.561,42.752,3,0,0,0,3,100.736,9,28.816,18,42.004,34.494,0,0,5,130.243,2,3.756,4,38.993,8,96.99,2,4.252,4,17.737,11,89.255,2,15.245,85.491,19.249
8548,6,2,804,2,3,52.206,11,0,11.309,33.695,4,184.071,14,0,5,0,0,0,56.965,11,175.774,16,194.23,9,270,0,74.523,75.754,8,1.253,1,0,2,35.975,6,0,20,57.993,39.995,0,0,13,63.958,6,42.248,8,33.5,15,130.253,5,5.723,9,23.988,18,98.514,4,19.986,15.989,20.009
8555,4,18,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8557,6,17,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8564,6,7,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8565,4,16,733,1,0,4.501,2,3,49.312,46.301,6,219.183,8,0,0,0,0,0,50.235,6,196.742,9,210.504,4,270,2.252,101.504,59.488,5,0,0,0,0,23.005,4,3.749,4,33.503,0,0,0,6,135.998,5,59.488,0,0,2,74.502,1,0.25,5,48.236,6,112.751,0,0,23.005,0
8565,4,16,733,2,0,34.002,1,0,198.666,15.952,2,220.04,4,0,0,0,0,0,22.559,3,247.435,4,266.286,1,270,0,266.285,3.713,1,0,0,2,0,0,0,10.536,6,14.035,0,0,0,10,139.778,0,0,1,3.713,10,126.489,2,9.496,3,13.061,5,227.893,0,0,0,0
8572,6,3,804,1,4,2.749,2,0,4.863,25.572,6,241.663,9,0,0,0,0,0,0,0,165.209,13,270,1,270,0,270,0,0,0,0,0,0,104.767,12,0.238,11,3.999,0,0,0,7,70.987,0,0,0,0,8,198.999,0,0,0,0,19,123.445,0,0,104.767,0
8572,6,3,804,2,4,41.225,4,0,0.653,36.918,5,191.842,7,0,7,0,0,0,12.995,2,210.251,10,265.246,2,270,0,143.748,4.752,1,0,0,5,0,46.736,7,0,23,33.255,12.493,0,0,9,143.999,0,0,1,4.752,10,113.477,0,0,2,12.995,16,137.735,1,6.747,39.989,5.746
8575,4,8,774,1,0,15.595,5,0,97.422,33.144,5,221.242,10,0,1,6.575,1,0,5.074,1,225.313,7,260.928,1,270,9.071,270,2.495,1,0,0,0,0,39.6,6,11.32,10,11.743,0,1,6.575,5,125.242,1,2.495,0,0,5,135.677,1,5.073,0,0,12,175.121,0,0,39.6,0
8575,4,8,774,2,0,115.61,4,0,12.455,18.798,3,135.58,6,0,5,0,0,0,16.56,7,242.644,10,246.03,9,270,0,9.996,23.954,8,0,0,2,0,7.848,2,25.497,10,112.489,0,0,0,16,164.494,6,19.139,2,4.815,12,81.517,1,2.247,2,3.82,14,100.486,0,0,7.848,0
8587,4,13,588,1,1,2.205,1,0,16.815,52.654,3,215.133,5,0,0,13.247,1,0,12.252,1,196.799,9,253.251,1,270,16.748,270,3.5,1,0,0,0,0,60.932,8,36.499,13,4.498,0,0,0,3,98.011,0,0,1,3.5,4,155.234,0,0,1,12.252,11,147.733,0,0,60.932,0
8587,4,13,588,2,2,21.34,3,0,2.87,38.995,9,209.643,11,0,3,0,0,0,13.747,5,218.738,13,265.75,1,270,4.249,270,4.249,1,0,0,0,0,37.49,8,6,10,50.996,3.5,0,0,7,154.997,1,3,1,1.248,7,110.74,1,2.5,2,5.748,14,111.237,1,3.5,33.99,0
8590,4,10,784,1,2,12.593,3,2,27.445,19.702,4,237.692,7,0,2,0,0,0,4.998,1,212.241,12,263.749,2,270,0,2.748,6.249,1,0,0,1,0,52.739,10,11.745,36,3.747,4.405,0,0,5,65.491,0,0,1,6.249,5,162.752,0,0,1,4.998,10,178.347,1,3.998,48.741,0.407
8590,4,10,784,2,7,37.593,6,0,14.73,25.095,2,207.296,9,0,0,0,0,2,0,0,199.752,14,270,1,270,0,270,0,0,0,0,0,0,70.222,13,0.5,18,24.998,0,0,0,7,152.995,0,0,0,0,7,116.992,0,0,0,0,9,122.508,0,0,70.222,0
8596,6,14,810,1,3,5.504,1,0,23.241,32.047,7,232.433,9,0,0,0,0,0,0,0,138.925,14,268.203,1,270,1.796,270,1.796,1,0,0,0,0,131.049,13,9.119,9,37.63,0,0,0,5,108.946,1,1.796,0,0,4,159.249,0,0,0,0,9,91.372,0,0,131.049,0
8596,6,14,810,2,5,126.143,11,0,5.813,9.953,2,133.88,12,0,25,0,0,5,3,1,204.271,13,267.501,2,270,0,165.714,2.497,1,0,0,1,0,62.704,12,32.715,11,58.65,0,0,0,4,114.963,1,2.497,0,0,3,152.533,1,2.502,1,0.497,10,159.833,0,0,62.704,0
8612,4,9,781,1,3,18.9,5,0,79.565,35.387,9,215.687,13,0,2,0,0,0,52.987,6,165.478,16,227.898,4,270,2.353,104.256,42.094,5,0,0,7,1,51.505,9,5.255,8,0,0,0,0,3,45.747,2,2.751,5,39.341,6,182.146,1,3.247,6,49.739,14,150.982,0,0,51.505,0
8612,4,9,781,2,5,42.806,6,2,11.784,35.2,8,191.97,11,0,1,0,0,0,32.241,8,202.488,13,242.246,7,270,1.001,8.252,27.74,8,0,0,31,0,35.246,5,33.751,13,7.5,0,0,0,11,144.401,4,13.743,5,13.996,11,97.83,6,11.497,5,20.741,14,116.988,0,0,35.246,0
8620,4,7,774,1,0,0,0,0,270,36.848,7,233.138,8,0,0,93.748,4,0,86.234,6,183.754,7,94.248,1,158.567,18.564,112.813,81.996,4,0,0,6,0,0,0,21.568,6,0,0,1,22.932,0,0,0,0,4,81.996,1,94.248,1,2.502,6,83.73,9,163.432,0,0,0,0
8620,4,7,774,2,1,0,0,1,270,6.489,2,263.507,3,0,0,49.085,3,0,65.997,5,203.993,6,134.248,3,145.659,4.158,106.909,86.656,6,0,0,0,0,0,0,270,0,91.84,0,3,49.085,3,129.497,5,82.498,1,4.158,1,4.75,0,0,3,21.499,5,136.65,0,0,0,0
8623,6,11,775,1,0,5.1,1,8,70.067,28.028,4,236.862,6,4,0,14.255,1,0,52.837,4,191.9,7,163.503,2,218.912,1.163,150.417,92.236,4,0,0,25,2,25.25,3,4.164,5,16.329,11,2,4.501,4,68.488,4,54.075,3,38.158,4,95.009,4,36.494,3,15.757,10,83.166,0,0,25.25,11
8623,6,11,775,2,6,43.995,4,1,52.661,27.853,3,198.138,8,11,0,68.815,8,0,103.041,9,166.942,9,111.682,5,46.183,0,39.183,89.479,12,0,0,3,1,0,0,0,5,29.484,27.754,3,13.246,4,37.744,5,15.993,10,73.483,6,73.933,1,1.501,10,67.809,15,117.668,0,0,0,27.754
8641,4,4,739,1,2,0,0,0,270,64.311,14,205.661,15,0,0,14.863,2,0,22.249,2,194.996,9,238.999,3,232.84,0,228.957,16.13,4,0,0,7,2,52.739,6,11.209,17,8.746,13.755,1,1.994,6,59.897,2,7.506,3,8.623,7,179.092,1,4.749,2,10.998,11,159.234,0,0,52.739,13.755
8641,4,4,739,2,6,63.73,10,0,7.287,27.961,8,178.28,12,2,6,30.504,3,0,69.492,7,180.882,12,214.741,5,6.9,0,3.402,24.741,7,4.501,3,0,1,15.1,4,41.151,18,51.145,0,3,30.504,13,119.142,7,24.741,0,0,9,95.582,8,22.24,6,18.741,13,113.98,0,0,15.1,0
8646,4,11,781,1,0,7.451,1,0,89.899,37.799,7,224.734,9,1,0,0,0,0,7.495,1,254.001,3,262.504,1,270,0,262.504,7.495,1,0,0,1,0,8.499,2,1.255,25,0,0,0,0,2,40.743,0,0,1,7.495,3,221.757,0,0,1,7.495,7,168.754,0,0,8.499,0
8646,4,11,781,2,5,92.242,9,0,10.619,15.857,4,161.877,12,1,4,0,0,0,0,0,235.143,7,270,1,270,0,270,0,0,0,0,0,0,34.845,6,0,20,0,0,0,0,6,85.243,0,0,0,0,6,184.746,0,0,0,0,7,168.751,0,0,34.845,0
8653,6,4,728,1,2,23.501,2,0,11.135,25.636,3,220.853,6,0,0,0,0,0,26.992,2,243.005,2,247.75,1,270,0,247.75,22.249,1,0,0,0,1,0,0,34.005,24,27.742,21.245,0,0,4,61.012,0,0,1,22.249,5,186.73,0,0,2,5.746,7,185.989,0,0,0,21.245
8653,6,4,728,2,3,132.391,13,0,6.135,58.745,6,78.835,11,0,4,0,0,0,55.975,3,214.02,3,233.12,2,270,0,172.775,36.877,2,0,0,0,3,0,0,0,27,23.743,0,0,0,7,92.095,2,23.154,3,13.72,8,141.012,3,18.251,4,28.97,8,161.762,0,0,0,0
8670,4,5,743,1,1,1.849,1,15,230.634,2.803,2,265.343,3,0,0,23.003,1,0,48.501,1,210.74,3,212.499,2,34.938,0,4.689,34.494,2,0,0,5,2,10.755,1,107.941,10,0,29.745,0,0,4,110.306,0,0,2,34.494,5,102.186,1,1.499,2,17.253,6,166.978,0,0,10.755,29.745
8670,4,5,743,2,2,0,0,0,270,43.581,15,226.389,16,0,0,0,0,0,18.999,3,196.1,10,260.4,1,270,0,260.4,9.599,1,0,0,0,0,54.883,6,7.398,4,52.346,0,0,0,3,197.999,1,9.599,0,0,3,62.396,0,0,2,8.747,9,141.251,0,0,54.883,0
8672,6,8,813,1,2,45.947,4,2,56.078,31.894,2,192.148,6,2,7,0,0,0,10.497,2,235.992,6,256.508,3,270,0,176.504,13.488,2,0,0,0,0,23.501,3,0,12,116.736,0,0,0,6,192.756,2,13.488,0,0,4,63.745,0,0,0,0,8,104.248,0,0,23.501,0
8672,6,8,813,2,3,151.896,11,0,8.369,23.041,5,95.038,10,0,27,0,0,0,25.747,3,210.734,10,240.498,3,270,0,177.044,25.752,2,3.755,2,1,0,26.997,6,2.295,13,31.241,0,0,0,5,185.242,2,8.248,1,17.503,5,55.249,2,2.751,2,19.996,10,109.493,0,0,26.997,0
8696,4,14,743,1,0,2.543,1,4,22.33,30.669,3,236.781,4,0,1,0,0,2,0,0,203.69,11,269.251,1,270,0.748,270,0.748,1,0,0,2,0,66.29,10,2.998,32,46.701,0,0,0,5,101.853,0,0,1,0.748,6,167.388,0,0,0,0,7,161.197,0,0,66.29,0
8696,4,14,743,2,1,75.845,4,0,28.998,19.75,6,174.388,8,1,2,0,0,15,0,0,238.861,6,270,1,270,0,270,0,0,0,0,2,0,31.129,5,0,9,0,0,0,0,4,113.545,0,0,0,0,5,156.447,0,0,0,0,8,163.835,0,0,31.129,0
8706,4,6,588,1,0,0,0,0,270,55.081,8,214.903,9,0,0,0,0,0,0,0,195.999,9,254.983,1,270,15.016,270,15.016,1,0,0,0,0,73.985,8,37.271,23,36.006,4.499,0,0,5,101.254,1,14.518,1,0.497,6,153.719,0,0,0,0,9,168.989,1,3.252,70.733,1.247
8706,4,6,588,2,4,4.551,2,0,158.438,9.295,2,256.146,5,0,0,0,0,0,0,0,138.04,20,270,1,270,0,270,0,0,0,0,0,0,131.922,19,0,8,39.747,0,0,0,4,180.327,0,0,0,0,4,89.666,0,0,0,0,18,120.39,0,0,131.922,0
8712,4,3,746,1,0,0,0,0,270,20.653,2,249.343,3,0,0,32.742,2,0,61.005,3,176.673,11,207.005,4,202.103,0,154.852,30.243,5,0,0,1,0,32.302,7,6.35,22,3.5,24.251,2,15.245,9,63.102,2,2.492,4,27.75,10,143.888,1,2,4,49.251,13,145.223,2,11.308,20.994,12.943
8712,4,3,746,2,0,0,0,1,270,46.558,5,223.432,6,0,0,0,0,0,15.747,4,227.245,7,263,2,270,0,255.438,6.998,1,0,0,1,0,22.997,2,0,20,5.499,6.999,0,0,6,123.751,1,3.001,1,3.996,7,139.238,3,6.503,3,9.242,10,178.995,1,6.999,15.998,0
8745,4,2,746,1,0,0,0,0,270,2.002,1,267.996,2,0,0,0,0,0,11.074,3,222.862,11,260.794,2,270,6.871,267.569,9.203,2,0,0,0,0,36.044,7,9.971,19,38.8,22.299,0,0,11,111.006,2,9.203,0,0,9,149.77,3,2.274,2,7.749,15,144.33,4,19.147,16.897,3.152
8745,4,2,746,2,2,95.745,7,0,52.995,31.393,3,142.846,7,0,4,0,0,0,25.747,2,201.255,9,261.502,3,270,0,186.999,8.494,2,0,0,1,0,42.982,6,0,21,19.499,52.244,0,0,9,135.499,2,2.999,1,5.494,9,125.988,1,0.751,2,6.75,16,144.48,4,34.988,7.994,17.256
8776,4,17,762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8803,5,5,783,1,0,11.105,2,0,75.665,10.004,1,248.885,4,0,0,0,0,0,1,1,140.234,14,270,1,270,0,270,0,0,0,0,0,0,128.739,13,3.249,17,15,0,0,0,4,154.255,0,0,0,0,4,115.738,0,0,1,1,12,128.236,0,0,128.739,0
8803,5,5,783,2,5,58.056,5,0,136.145,25.454,4,186.475,7,0,10,0,0,0,58.604,5,166.382,9,212.125,5,270,0,149.881,57.866,5,0,0,0,2,44.997,4,0,7,7.5,3.501,0,0,5,137.872,4,20.745,2,37.12,4,74.249,4,16.11,5,34.992,9,113.114,0,0,44.997,3.501
8828,4,15,762,1,0,37.795,4,3,20.47,43.335,7,188.851,9,0,7,10.248,1,0,51.495,4,209.246,5,220.498,3,270,12.75,142.002,39.247,4,0,0,3,0,9.249,2,14.005,24,0,0,0,0,1,14.746,0,0,4,39.247,4,205.75,0,0,4,51.495,6,174.496,0,0,9.249,0
8828,4,15,762,2,0,99.599,5,3,10.366,0.952,1,169.438,6,0,2,0,0,2,0,0,211.131,12,269.712,1,270,0.287,270,0.287,1,0,0,3,0,58.847,11,150.148,6,85.725,0,0,0,8,222.437,0,0,1,0.287,9,47.259,0,0,0,0,11,78.841,0,0,58.847,0
8831,4,1,733,1,0,0,0,0,270,6.499,1,263.499,2,0,0,0,0,0,0,0,181.886,11,268.001,1,270,0,270,0,0,0,0,0,0,86.095,10,2.998,14,16.248,5.247,0,0,4,163.997,0,0,0,0,5,103.996,0,0,0,0,10,152.236,1,5.247,80.848,0
8831,4,1,733,2,2,12.405,3,0,49.633,55.658,4,209.427,7,1,2,0,0,0,25,5,241.989,7,248.673,3,270,0,188.93,21.322,3,0,0,0,0,2.999,1,0.426,23,24.497,0,0,0,7,67.994,1,10.996,2,10.326,8,180.667,1,0.502,4,12.752,13,191.494,0,0,2.999,0
8938,4,12,784,1,5,0,0,0,34.178,7.002,4,262.99,5,0,1,0,0,0,16.495,1,193.744,10,253.503,2,270,0,219.504,16.495,1,0,0,0,0,59.743,8,3.998,5,34.244,0,0,0,3,106.49,0,0,1,16.495,4,147.008,0,0,1,16.495,8,153.503,0,0,59.743,0
8938,4,12,784,2,2,17.299,4,0,92.452,64.253,6,188.431,8,0,2,0,0,0,1.247,1,230.003,10,270,1,270,0,270,0,0,0,0,0,0,38.732,8,3.747,23,28.735,0,0,0,9,97.235,0,0,0,0,9,172.748,0,0,1,0.995,10,169.75,0,0,38.732,0
8971,6,6,806,1,0,21.35,3,7,96.227,19.572,3,229.066,7,0,0,0,0,20,0,0,180.239,10,270,1,270,0,270,0,0,0,0,0,0,89.743,9,47.754,12,44.729,0,0,0,6,182.495,0,0,0,0,5,87.495,0,0,0,0,10,97.493,0,0,89.743,0
8971,6,6,806,2,0,101.745,5,0,52.037,46.897,3,121.346,5,0,21,0,0,1,13.219,2,164.521,7,263.975,1,270,0,263.975,6.024,1,0,0,0,1,92.247,5,68.23,19,132.221,0,0,0,4,168.979,1,6.024,0,0,3,94.99,1,7.018,0,0,5,94.246,0,0,92.247,0
9014,5,3,793,1,0,1.949,1,0,33.562,38.581,9,229.451,10,0,2,5.398,1,0,9.151,1,196.788,8,258.699,2,256.213,0.161,252.712,5.899,2,1.949,1,0,0,62.098,5,0.161,27,1.348,53.694,1,1.797,1,24.249,1,3.5,1,2.399,2,234.449,0,0,1,9.151,8,174.39,3,50.795,11.303,2.899
9014,5,3,793,2,5,2.59,2,0,219.158,27.148,6,240.247,8,0,0,78.559,11,0,107.068,12,124.154,18,144.913,9,115.409,0,112.916,46.49,19,0.754,1,0,2,37.989,5,0,19,0,55.244,0,0,0,0,0,0,19,46.49,9,144.913,0,0,11,64.823,16,111.15,0,0,37.989,55.244
9027,5,6,795,1,1,30.593,4,0,5.317,32.545,8,206.839,12,3,5,0,0,0,0,0,115.985,11,270,1,270,0,270,0,0,0,0,3,0,153.995,10,0,8,49.748,0,0,0,4,197.99,0,0,0,0,5,72.002,0,0,0,0,10,73.98,0,0,153.995,0
9027,5,6,795,2,2,92.254,11,0,2.587,39.847,8,137.864,17,10,7,0,0,0,0,0,172.092,14,270,1,270,0,270,0,0,0,0,0,0,97.882,13,0,15,2.498,0,0,0,4,126.963,0,0,0,0,4,143.03,0,0,0,0,12,154.37,0,0,97.882,0
9028,6,18,813,1,0,13.443,3,6,72.303,21.835,7,234.702,11,0,0,0,0,3,0,0,120.477,20,270,1,270,0,270,0,0,0,0,0,0,149.484,20,270,0,38.747,0,0,0,4,186.498,0,0,0,0,4,83.495,0,0,0,0,13,36.237,0,0,149.484,0
9028,6,18,813,2,6,133.487,6,1,8.629,26.698,3,109.8,7,0,15,0,0,0,0,0,188.482,17,270,1,270,0,270,0,0,0,0,0,0,81.486,16,0,23,88.603,3.75,0,0,8,155.609,0,0,0,0,8,114.376,0,0,0,0,15,117.374,1,2.75,78.736,1
9036,5,15,793,1,2,10.404,2,0,38.892,23.942,11,235.629,13,0,1,3.267,1,0,37.263,5,172.21,9,245.229,3,270,0,186.523,20.999,3,1.751,1,3,0,58.757,5,7.769,16,6,43.97,0,0,4,46.501,1,11.499,2,9.5,5,198.722,2,5.02,5,25.741,12,125.725,1,9.251,49.506,34.719
9036,5,15,793,2,2,109.059,8,0,10.273,25.945,8,134.97,11,0,10,0,0,0,34.484,6,214,10,240.247,4,270,0,122.745,29.746,4,0,0,0,1,21.497,4,0,25,0,0,0,0,3,19.955,1,7.745,3,22.001,6,220.287,1,8.001,5,26.483,13,187.265,0,0,21.497,0
9043,5,16,757,1,1,6.749,2,1,126.242,42.001,4,221.238,7,0,0,0,0,0,1.498,1,214.498,8,270,1,270,0,270,0,0,0.498,1,8,0,53.492,5,0,19,37.49,0,0,0,6,159.481,0,0,0,0,7,110.507,1,1.498,0,0,10,99.983,0,0,53.492,0
9043,5,16,757,2,8,3.456,1,0,119.61,40.992,3,225.544,5,5,0,0,0,0,5.641,2,264.356,2,270,1,270,0,270,0,0,0,0,1,0,0,0,0,15,1.999,0,0,0,4,72.737,0,0,0,0,5,197.255,1,3.748,1,1.893,7,220.598,0,0,0,0
9069,5,9,801,1,0,5.147,1,0,58.33,75.629,15,189.194,15,2,4,0,0,0,67.495,8,168.932,15,210.058,5,270,0,144.041,59.934,4,2.046,2,38,6,31.498,5,0,8,23.497,0,0,0,5,143.524,4,59.934,0,0,1,66.533,0,0,7,63.491,14,148.94,0,0,31.498,0
