PVC_Nr,Batch,Subject,Sow,Test_Nr,HAT_disturbance_freq,HAT_exploration_human_dur,HAT_exploration_human_freq,HAT_jumping_freq,HAT_latency_to_touch_the_human_dur,HAT_pig_not_visible_dur,HAT_pig_not_visible_freq,HAT_pig_visible_not_exploring_dur,HAT_pig_visible_not_exploring_freq,HAT_tail_wagging_freq,HAT_touching_not_visible_freq,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_latency_nose_nose_dur,NPT_nose_nose_freq,NPT_NP_not_visible_dur,NPT_NP_walking_by_fence_dur,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
9,2,13,751,2,0,79.239,9,0,4.877,61.536,9,129.197,11,0,2,15.251,2,0,52.234,9,174.483,15,201.276,9,162.503,0,134.507,53.453,10,20.002,7,0,0,23.247,4,0,29,0,0,1,3.003,4,11.75,4,19.239,9,34.211,9,189.522,3,11.242,9,40.989,16,165.978,0,0,23.247,0
10,2,5,751,1,2,6.049,1,0,56.87,20.925,6,243.014,6,0,0,30.495,3,0,53.739,5,190.143,10,157.744,4,186.348,18.1,66.103,81.747,8,0,0,0,2,26.1,4,20.599,15,0,55.25,2,3.25,1,1.746,2,8.743,8,73.002,5,155.996,2,3.749,6,40.736,9,168.246,4,26.1,0,29.15
10,2,5,751,2,0,60.403,4,0,3.824,27.249,4,182.333,8,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2,7,592,1,0,0,0,3,270,77.481,12,225.979,14,0,0,21.477,2,0,134.96,8,131.525,9,108.022,5,222.026,0,58.026,140.489,6,0,0,0,2,3.498,1,14.029,15,0,0,1,10.502,3,25.743,8,69.49,8,70.989,4,82.277,7,58.49,9,76.462,12,102.275,0,0,3.498,0
11,2,7,592,2,1,23.499,1,0,172.35,22.528,8,223.955,10,0,0,0,0,0,61.75,3,208.246,2,221.498,2,270,14.25,229.001,48.498,3,0,0,0,0,0,0,18.25,27,8.498,0,0,0,8,91.991,3,37.997,2,10.499,8,129.493,3,19.745,5,33.501,8,126.743,0,0,0,0
12,2,8,592,1,0,24.149,3,0,14.718,16.253,2,229.588,6,1,4,0,0,0,40.007,5,229.983,6,223.502,5,270,0,15.761,46.49,4,0,0,1,0,0,0,48.508,8,0,0,0,0,9,76.005,3,16.249,4,30.238,10,147.483,3,26.503,3,13.503,12,149.478,0,0,0,0
12,2,8,592,2,1,72.145,5,0,18.324,56.643,4,141.195,9,0,1,3.003,1,0,67.495,8,202.491,7,232.496,3,270,12.752,181.501,34.493,5,0,0,8,0,0,0,15.499,14,0,0,1,3.003,8,105.24,5,29.247,1,5.245,5,127.246,8,57.254,2,10.239,7,151.496,0,0,0,0
13,2,11,775,1,0,30.695,3,0,4.927,24.237,11,215.041,14,1,1,72.873,9,0,112.685,18,157.28,18,89.995,8,29.798,19.298,23.798,107.099,17,0,0,0,0,0,0,145.046,4,9.247,0,2,12.446,2,19.747,5,29.997,15,77.099,6,70.248,6,19.251,17,84.181,17,123.034,0,0,0,0
13,2,11,775,2,0,67.301,6,0,1.154,42.046,7,160.629,12,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2,2,747,1,2,0,0,0,270,30.894,6,239.094,7,0,0,0,0,0,22.98,2,240.965,5,270,1,270,0,270,0,0,0,0,0,0,6.047,2,42.399,16,0,27.511,0,0,2,22.248,0,0,0,0,3,247.748,1,1.499,3,21.479,14,167.109,1,0.501,5.546,27.01
14,2,2,747,2,0,53.405,2,0,136.371,4.996,1,211.593,4,0,0,26.247,3,0,56.492,4,204.494,6,210.247,4,127.25,0,109.749,33.494,6,5.002,2,1,0,4,1,1.247,26,23.501,48.238,1,5.249,6,62.49,3,18.747,6,14.743,9,147.746,3,9.744,4,27.993,13,127.978,1,2.748,1.252,45.49
15,2,14,747,1,0,27.646,6,1,5.377,22.371,8,219.959,11,0,4,18.496,2,0,49.239,11,220.739,12,233.75,4,11.189,0,9.189,17.744,5,0,0,0,0,0,0,86.689,26,2.187,0,0,0,5,43.185,0,0,5,17.744,8,190.556,3,4.745,10,44.492,15,162.792,0,0,0,0
15,2,14,747,2,2,39.195,5,0,8.422,66.551,6,164.236,8,0,3,0,0,2,35.486,7,230.248,8,253.246,4,270,0.501,102.253,16.748,3,0,0,0,0,4.251,1,0.501,18,0,0,0,0,6,89.251,2,13.245,1,3.503,5,163.988,3,26.236,5,9.249,9,172.491,0,0,4.251,0
18,2,3,680,1,1,0,0,1,270,20.249,2,249.747,3,0,0,18.998,2,0,56.1,5,196.634,8,196.485,3,216.734,0,172.236,54.508,5,0,0,0,3,17.252,2,7.486,28,10.25,12.251,2,10.245,4,46.501,5,11.998,4,42.506,4,149.979,3,13.989,6,42.107,11,159.128,1,0.753,16.499,11.498
18,2,3,680,2,3,20.202,3,0,4.902,55.42,9,194.354,13,0,1,12.244,3,0,59.487,11,210.492,11,207.994,8,223,0,144.501,49.742,10,0,0,1,0,0,0,0.749,31,0,11.001,2,6.498,3,32.249,2,3.998,10,45.742,10,175.74,5,14.75,12,39.732,12,181.489,0,0,0,11.001
19,2,15,680,1,0,10.096,2,0,14.609,46.989,9,212.895,10,0,3,15.748,2,0,60.997,5,208.993,6,186.748,4,136.002,0,100.504,67.494,5,0,0,0,3,0,0,10.999,10,6.999,0,2,15.748,8,107.998,6,60.494,1,6.998,5,78.741,2,22.748,4,38,10,147.229,0,0,0,0
19,2,15,680,2,3,27.5,5,2,4.936,42.396,11,200.074,15,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2,9,770,1,0,16.945,2,0,40.196,21.298,5,231.743,8,1,0,0,0,0,9.423,3,225.317,10,263.499,2,270,0,215.429,6.499,1,0,0,1,0,35.241,7,11.677,23,0,0,0,0,1,41.002,1,3.998,1,2.5,2,222.496,3,8.674,1,0.748,9,180.573,0,0,35.241,0
21,2,9,770,2,3,44.496,4,0,4.579,16.502,7,208.981,11,0,0,0,0,0,39,6,185.486,12,231.486,5,270,0,114.621,38.506,4,0,0,1,0,45.492,5,1.869,18,15.249,4.996,0,0,3,99.499,1,9.999,4,28.506,7,131.982,0,0,6,35.508,12,153.233,0,0,45.492,4.996
22,2,18,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
