PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
9110,5,7,797,34,18,21,8,57,0,-0.307692307692308,-2.21880078490092,L,-1,-7.54983443527075,L,-0.448275862068966,-2.41403939630167,L,1,6,33.149,6,0,0,0,0,78.45,23,236.839,7,191.504,24,90,0,12.189,7,5.464,12.762,245.036,7,44.857,13,46.681,46.681,0,0,0,16.738,206.562,10,59,0
9112,5,18,672,NA,NA,29,3,NA,NA,NA,NA,NA,NA,NA,NA,-0.8125,-4.59619407771256,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9130,5,13,795,20,23,10,13,56,0,0.0697674418604651,0.457495710997814,A,-1,-7.48331477354788,L,NA,NA,NA,1,6,75.345,16,0,0,0,0,71.426,24,194.623,17,198.527,24,147,0,7.34,4,5.39,3.642,259.011,4,13.902,6,13.752,13.752,5.251,1,3.878,22.178,234.061,5,106,0
9133,5,4,672,51,28,0,29,0,61,-0.291139240506329,-2.58770217212985,L,1,7.81024967590665,R,1,5.3851648071345,R,1,3,58.424,13,0,2,0,0,103.425,29,211.55,14,164.368,31,81,0,15.395,5,9.701,5.55,249.046,5,38.017,15,102.648,102.648,3.251,1,3.691,26.587,140.741,12,36,0
9135,6,15,809,50,40,67,6,0,68,-0.111111111111111,-1.05409255338946,A,1,8.24621125123532,R,-0.835616438356164,-7.13950997896397,L,1,4,22.867,7,0,0,0,0,88.72,28,247.119,8,181.224,29,168,0,69.639,12,1.656,4.157,196.181,12,38.703,7,68.201,68.201,18.006,4,0,3.639,198.139,11,112,0
9166,6,5,810,4,30,42,28,71,0,0.764705882352941,4.45896321370523,R,-1,-8.42614977317636,L,-0.2,-1.67332005306815,A,1,5,36.484,9,0,3,0,0,97.382,30,233.498,10,168.805,33,163,0,20.045,2,0.622,1.37,248.582,2,0,0,8.555,8.555,30.949,8,0,100.356,161.084,3,71,0
9172,5,10,798,NA,NA,31,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,-5.56776436283002,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9180,6,16,808,68,25,10,66,71,0,-0.462365591397849,-4.45889228734083,L,-1,-8.42614977317636,L,0.736842105263158,6.42364054837573,R,1,3,26.196,7,0,2,0,0,121.47,27,243.79,8,147.223,30,222,0,11.399,3,9.278,65.18,193.416,3,52.251,9,69.302,69.302,0,0,0,68.69,131.998,5,60,0
9233,6,1,808,27,28,2,73,0,73,0.0181818181818182,0.134839972492648,A,1,8.54400374531753,R,0.946666666666667,8.19837382249269,R,1,4,70.58,20,0,0,0,0,126.925,34,199.38,21,143.007,35,270,0,84.197,4,11.942,27.59,1081.701,5,32.129,9,14.153,14.153,34.753,8,0,91.836,164.006,3,58,0
9238,5,8,797,19,44,30,0,0,54,0.396825396825397,3.14970394174356,R,1,7.34846922834953,R,-1,-5.47722557505166,L,1,6,9.001,3,0,0,0,0,77.226,24,260.993,4,192.726,25,137,0,38.947,6,12.178,35.026,196.016,6,5.252,1,33.488,33.488,25.597,6,0,34.922,223.324,5,135,0
