PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
7641,1,2,672,17,75,15,60,0,70,0.630434782608696,6.04691800765517,R,1,8.36660026534076,R,0.6,5.19615242270663,R,1,6,26.185,8,0,2,0,0,127.912,30,243.799,9,138.781,31,155,0,27.893,6,32.638,88.09,154.006,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7710,1,1,631,40,50,36,38,70,0,0.111111111111111,1.05409255338946,A,-1,-8.36660026534076,L,0.027027027027027,0.232495277487639,A,1,6,15.238,6,0,0,0,0,71.22,27,255.038,7,199.014,28,117,0,4.346,2,11.102,83.505,182.146,2,45.951,14,215.766,215.766,0,0,3.462,4.962,49.26,6,36,0
7712,1,14,713,32,39,0,76,0,75,0.0985915492957746,0.830747160735697,A,1,8.66025403784439,R,1,8.71779788708135,R,1,1,55.183,14,0,0,9.493,4,121.962,38,214.789,15,138.462,42,200,0,61.638,7,10.447,15.997,192.352,7,0,0,6.594,6.594,3.002,1,0,49.149,214.55,4,260,0
7765,1,13,721,28,40,77,0,0,72,0.176470588235294,1.455213750218,A,1,8.48528137423857,R,-1,-8.77496438739212,L,1,4,62.736,13,0,0,0,0,94.924,22,207.238,14,175.033,22,108,0,20.464,4,17.678,164.275,85.255,3,93.744,17,59.489,59.489,9.254,2,15.595,52.193,158.297,11,36,0
7773,5,17,757,36,31,4,26,0,41,-0.0746268656716418,-0.610847221781526,A,1,6.40312423743285,R,0.733333333333333,4.01663208837122,R,1,4,21.534,8,0,0,0.999,1,81.168,29,248.45,9,187.773,31,103,0,0,0,17.162,270,0,0,2.749,1,5.998,5.998,16.603,5,6.527,40.827,223.17,3,124,0
7804,1,15,693,37,47,65,0,0,76,0.119047619047619,1.09108945117996,A,1,8.71779788708135,R,-1,-8.06225774829855,L,1,4,10.853,3,0,0,0,0,67.384,19,259.141,4,202.579,19,73,0,7.554,4,0.66,23.256,239.183,4,59.062,15,101.387,101.387,6.751,2,2.83,3.48,165.096,19,42,0
7831,1,9,766,29,30,54,22,0,74,0.0169491525423729,0.130188910980824,A,1,8.60232526704263,R,-0.421052631578947,-3.67065174192899,L,1,6,19.735,6,0,4,1.75,1,89.128,33,250.253,7,173.802,38,223,0,60.489,8,0,2.93,206.566,8,0,0,6.308,6.308,12.001,3,10.506,29.808,233.879,3,91,0
7832,1,3,693,31,64,75,1,74,0,0.347368421052632,3.38572856188101,R,-1,-8.60232526704263,L,-0.973684210526316,-8.48838215321078,L,1,4,72.341,16,0,1,0,0,109.42,35,197.627,17,158.008,35,138,0,33.348,2,22.553,3.753,232.896,2,50.343,8,104.04,104.04,2.998,1,0,53.271,112.66,15,29,0
7834,1,12,656,45,36,70,5,75,0,-0.111111111111111,-1,A,-1,-8.66025403784439,L,-0.866666666666667,-7.50555349946513,L,1,2,69.98,11,0,0,0,0,103.032,27,200,11,166.915,28,19,0,141.473,4,223.254,24.148,98.07,4,4.75,1,34.044,34.044,4.002,1,219.635,11.131,224.814,6,3,0
7835,1,4,670,46,46,0,75,72,0,0,0,A,-1,-8.48528137423857,L,1,8.66025403784439,R,1,4,29.793,8,0,5,2.249,1,108.829,37,240.628,9,154.282,44,340,0,30.539,8,7.645,36.096,202.041,8,55.956,20,48.787,48.787,3.751,1,5.457,9.857,211.337,10,84,0
