Batch,Subject,Test_Nr,Novel_pig,PVC_Nr,Sow,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_NP_back_dur,NPT_NP_back_freq,NPT_NP_climbing_freq,NPT_NP_facing_back_dur,NPT_NP_facing_back_freq,NPT_NP_facing_fence_dur,NPT_NP_facing_fence_freq,NPT_NP_front_dur,NPT_NP_front_freq,NPT_NP_latency_nose-nose_dur,NPT_NP_middle_dur,NPT_NP_middle_freq,NPT_NP_nose-nose_freq,NPT_NP_pig_not_visible_dur,NPT_NP_pig_not_visible_freq,NPT_NP_sudden_display_dur,NPT_NP_sudden_display_freq,NPT_NP_tail_wagging_freq,NPT_NP_walking_by_fence_dur,NPT_NP_walking_by_fence_freq,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
1,7,1,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,2,674,7865,685,0,0,0,36.992,5,229.995,6,268.097,2,270,0,156.348,1.901,1,0,0,3,0,0,0,32.496,5,0,25.003,4,244.989,5,237.494,6,11.251,0,0,18,0,0,0,0,0,0,0,0,0,5,32.496,0,0,1,1.901,7,235.591,2,7.498,5,29.492,8,212.486,0,0,0,0
1,8,1,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,2,609,7986,685,0,0,0,86.745,8,171.75,10,229.508,5,270,0,57.748,37.985,5,1.496,1,0,0,7.491,2,71.744,5,0,48.744,5,216.744,7,198.247,5,21.999,0,0,12,0,0,1.248,1,1,3.251,1,0,0,6,54.249,2,14.994,4,22.99,7,175.251,4,9.997,7,72.244,11,133.001,0,0,7.491,3.251
1,9,1,9453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,2,9297,7831,766,0,0,0,9.745,2,243.496,7,263.25,2,270,0,237.043,6.748,1,0,0,1,0,16.747,4,119,8,0,71.954,7,198.033,7,150.986,7,1.54,0,0,22,0,0,0,0,0,0,0,0,0,8,119,0,0,1,6.748,8,144.236,0,0,2,9.745,11,173.53,0,0,16.747,0
1,10,1,8147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,2,8528,7966,656,0,0,0,63.748,4,206.244,5,252.499,2,270,0,53.69,17.499,1,0,0,3,0,0,0,0,0,0,0,0,270,1,270,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.499,2,252.499,0,0,4,63.748,5,206.244,0,0,0,0
1,11,1,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,2,674,7914,765,0,0,0,88.502,6,181.486,7,255.246,3,270,0,97.372,14.75,2,0,0,1,1,0,0,34.996,5,0,31.997,3,237.997,4,234.997,5,1.119,0,0,23,0,0,0,0,0,0,0,0,0,4,34.995,0,0,2,14.75,7,220.243,3,24.994,8,63.503,7,174.483,0,0,0,0
1,12,1,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12,2,609,7834,656,15.002,1,0,43.757,7,221.222,10,178.249,4,127.243,0,104.989,76.74,5,1.997,1,4,2,3.006,1,112.881,9,0,65.895,11,195.329,13,157.101,10,0.244,0,0,13,8.751,2,0,0,3,0,0,1,0.253,9,84.484,3,28.14,4,48.598,10,93.75,5,7.155,7,36.597,15,158.222,0,0,3.006,0
1,13,1,9453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
